overall_rating,potential,value_euro,wage_euro,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),release_clause_euro,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes
94,94,110500000.0,565000.0,5,4,4,226500000.0,86,95,70,92,86,97,93,94,89,96,91,86,93,95,95,85,68,72,66,94,48,22,94,94,75,96,33,28,26,6,11,15,14,8
88,89,69500000.0,205000.0,3,5,4,133800000.0,88,81,52,91,80,84,86,87,89,91,76,73,80,88,81,84,50,92,58,89,46,56,84,91,67,88,59,57,22,9,14,7,7,6
88,91,73000000.0,255000.0,4,4,5,144200000.0,80,75,75,86,85,87,85,82,90,90,71,79,76,82,66,90,83,88,87,82,78,64,82,88,82,87,63,67,67,5,6,2,4,3
88,88,62000000.0,165000.0,3,4,4,105400000.0,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22,8,4,14,9,10
63,77,800000.0,3000.0,1,2,3,2100000.0,53,50,46,59,49,72,67,64,61,69,75,65,50,53,68,60,54,39,46,46,41,31,54,71,60,61,41,40,47,10,13,8,11,14
63,70,450000.0,2000.0,1,3,2,743000.0,28,25,62,56,30,46,28,25,44,51,71,74,73,60,71,53,72,35,51,32,71,63,20,33,30,60,62,64,66,9,9,11,8,15
63,63,140000.0,3000.0,1,2,3,301000.0,64,29,61,64,29,65,53,34,56,63,74,50,60,63,46,23,48,67,73,28,56,58,43,39,39,50,57,66,64,9,11,14,14,14
63,63,270000.0,1000.0,1,3,2,392000.0,37,42,70,64,25,47,30,28,54,49,59,54,62,57,62,41,69,72,73,37,66,65,37,57,38,65,65,68,64,9,15,13,11,10
63,63,150000.0,2000.0,1,2,2,263000.0,31,38,64,53,31,42,33,30,49,47,53,44,49,57,55,42,71,69,75,35,73,59,25,37,39,56,61,62,60,15,7,15,11,12
63,70,500000.0,2000.0,1,3,3,725000.0,59,48,33,65,45,66,50,49,60,71,74,78,70,55,68,59,65,62,67,64,54,50,46,61,48,61,63,66,63,5,10,14,15,8
63,63,300000.0,1000.0,1,3,2,375000.0,22,18,61,59,25,36,25,20,36,49,60,57,71,59,64,33,73,67,74,21,46,56,47,32,36,47,66,66,64,6,13,12,7,7
63,73,600000.0,3000.0,1,3,2,1200000.0,33,67,56,54,42,56,43,29,31,60,80,83,67,57,74,64,66,68,56,63,56,22,58,47,68,65,30,13,12,13,13,15,13,16
63,66,375000.0,2000.0,1,2,2,684000.0,35,15,61,49,18,38,31,24,43,45,59,39,64,59,44,35,80,74,81,22,64,53,15,44,37,55,56,64,69,8,9,6,7,10
63,67,500000.0,2000.0,1,3,2,663000.0,39,63,71,58,48,59,42,35,45,63,67,69,55,55,41,60,64,65,79,50,43,27,59,55,60,59,24,18,17,12,12,11,13,13
63,63,270000.0,4000.0,1,3,2,446000.0,61,46,43,63,41,55,51,43,62,58,74,74,73,61,66,66,76,87,70,44,85,59,52,59,50,62,55,56,58,9,11,8,16,7
63,68,500000.0,1000.0,1,3,2,713000.0,34,64,61,63,54,62,56,35,59,57,67,73,67,48,60,64,60,53,78,59,45,19,60,49,55,62,17,18,18,13,14,8,11,8
63,69,500000.0,2000.0,1,4,3,875000.0,49,47,51,70,36,55,57,40,68,65,60,63,63,55,75,56,55,64,45,40,52,60,51,68,47,61,58,57,56,8,15,6,12,8
63,74,550000.0,1000.0,1,3,2,990000.0,32,15,60,58,22,22,28,45,45,58,48,68,41,57,65,35,73,51,65,33,59,58,28,25,46,44,57,67,64,12,11,13,8,12
63,68,400000.0,4000.0,1,3,2,690000.0,63,26,45,57,45,58,68,60,45,62,77,78,72,53,65,57,73,76,69,46,56,57,53,49,36,54,55,62,59,15,16,14,13,11
63,68,475000.0,1000.0,1,3,2,867000.0,38,36,57,68,40,55,42,45,61,62,54,63,60,61,70,51,63,74,62,44,65,62,58,62,49,57,53,64,58,15,6,12,12,12
63,63,270000.0,3000.0,1,4,2,581000.0,70,32,52,57,30,54,60,45,62,47,79,70,74,65,70,43,56,88,75,46,67,61,46,53,43,53,53,57,53,16,8,14,7,10
63,63,80000.0,2000.0,1,3,2,172000.0,62,49,68,65,56,57,45,45,64,67,56,36,42,69,59,48,49,49,78,52,57,67,31,52,43,61,66,68,63,15,13,10,14,6
63,70,525000.0,2000.0,1,3,3,919000.0,51,62,47,67,53,60,54,53,70,62,62,65,64,56,70,57,68,66,67,45,45,50,59,68,56,59,50,54,52,7,7,13,13,9
63,72,575000.0,1000.0,1,3,2,949000.0,55,51,46,64,34,58,63,57,59,63,67,68,77,63,82,73,80,66,45,58,68,59,59,63,40,53,62,63,58,10,7,7,6,14
63,67,400000.0,2000.0,1,3,2,610000.0,60,26,54,59,29,60,47,33,47,63,64,67,63,60,62,54,65,65,72,31,60,61,28,33,34,44,64,63,59,7,11,11,7,14
63,73,575000.0,4000.0,1,3,3,1100000.0,60,47,55,68,32,63,39,45,66,64,49,55,61,60,66,65,62,45,71,48,62,65,55,61,48,54,65,66,64,10,9,9,7,5
63,64,450000.0,3000.0,1,3,3,821000.0,47,64,62,55,52,63,49,38,52,61,74,67,63,54,62,64,70,69,68,55,56,36,59,52,63,55,29,48,42,10,8,13,8,9
63,70,425000.0,2000.0,1,3,2,723000.0,57,28,65,55,26,47,38,32,48,54,65,68,54,53,62,46,79,76,71,28,53,59,24,38,47,53,49,68,68,13,13,9,10,8
63,63,20000.0,4000.0,1,3,1,38000.0,10,10,13,34,19,10,10,11,12,23,31,36,41,59,36,22,52,20,52,12,12,15,10,31,18,31,14,14,18,62,62,60,67,60
63,70,425000.0,12000.0,1,2,2,893000.0,58,36,45,60,37,63,48,44,58,62,88,88,74,55,67,55,64,64,56,58,59,59,53,50,34,52,56,57,59,11,8,7,14,12
63,80,625000.0,1000.0,1,3,1,1500000.0,13,8,14,51,7,12,12,13,38,15,45,44,35,49,38,25,62,44,52,8,26,15,6,46,11,44,12,11,16,64,64,60,62,63
63,70,450000.0,1000.0,1,2,2,653000.0,26,37,64,52,24,17,28,29,45,52,53,62,60,49,53,62,62,53,71,55,67,68,23,24,59,64,48,67,66,6,6,13,12,11
63,65,300000.0,2000.0,1,1,1,548000.0,13,11,13,18,8,12,13,14,16,17,31,32,30,52,52,23,58,38,61,9,28,9,10,38,23,46,21,12,13,66,60,55,62,65
63,65,350000.0,1000.0,1,2,2,464000.0,26,17,62,53,23,37,22,27,53,55,47,48,32,56,47,51,39,42,81,25,81,59,24,45,23,52,60,60,57,9,10,13,12,9
63,63,300000.0,2000.0,1,4,2,435000.0,62,58,57,59,53,64,59,71,57,62,76,76,78,58,85,58,85,60,58,63,37,59,58,51,58,56,60,60,61,6,7,12,7,11
63,63,240000.0,4000.0,1,2,2,420000.0,65,42,51,60,46,59,66,67,58,58,70,82,68,58,70,56,78,85,73,45,61,56,57,61,48,60,52,57,60,4,3,17,5,8
63,69,375000.0,1000.0,1,3,1,581000.0,18,13,14,24,18,16,18,14,25,23,45,40,34,53,52,24,56,42,43,13,20,21,16,28,23,38,20,15,11,64,61,58,63,65
63,63,300000.0,3000.0,1,3,2,435000.0,62,36,61,59,35,63,51,25,57,60,70,67,72,58,74,46,53,63,70,38,67,64,56,54,44,65,63,63,59,11,15,14,9,13
63,73,525000.0,1000.0,1,3,2,893000.0,59,31,53,55,33,62,34,43,53,55,73,73,64,59,60,32,60,66,73,28,66,59,54,45,42,54,60,65,65,14,8,12,13,5
63,65,300000.0,1000.0,1,3,1,398000.0,12,11,16,24,13,13,19,15,19,24,30,27,38,55,32,18,55,32,66,14,13,21,11,30,17,43,12,17,15,63,65,57,64,63
63,81,650000.0,2000.0,1,3,2,1300000.0,36,32,57,66,28,57,34,35,56,60,65,63,52,62,72,48,64,64,75,30,53,62,39,46,48,55,60,66,60,11,14,11,14,12
63,69,425000.0,1000.0,1,2,2,616000.0,38,24,63,64,36,57,39,24,59,59,61,68,60,60,55,50,73,65,70,37,60,63,43,56,31,59,57,59,58,15,12,7,7,6
63,63,290000.0,1000.0,1,2,2,421000.0,21,19,65,62,27,29,29,27,60,55,61,46,42,64,58,39,70,67,81,16,68,66,27,38,34,68,62,63,57,8,6,10,15,6
63,69,425000.0,2000.0,1,3,2,935000.0,54,34,67,69,33,54,44,41,65,64,44,61,50,62,74,56,61,55,58,40,60,62,40,52,49,48,67,66,63,5,10,12,10,13
63,68,500000.0,1000.0,1,3,2,763000.0,62,59,43,64,47,64,52,35,56,60,69,74,70,53,67,66,60,71,63,51,38,43,64,49,50,46,40,38,41,14,14,11,12,12
63,63,400000.0,2000.0,1,3,2,700000.0,63,60,59,63,60,64,63,60,62,63,70,72,64,56,65,63,54,57,56,63,61,51,57,58,60,46,31,54,47,7,14,7,8,15
63,65,375000.0,1000.0,1,3,2,497000.0,39,33,66,52,23,32,29,18,49,48,42,47,31,58,29,57,31,63,86,30,69,62,35,46,27,60,55,63,60,13,16,11,10,12
63,71,450000.0,1000.0,1,3,2,788000.0,62,53,46,66,37,61,42,40,64,64,75,68,79,62,79,55,70,69,53,51,69,58,59,61,47,59,58,55,53,7,13,13,9,6
